Product_Name,Discount,MRP,Selling_Price,Colour,Form_Factor,Number_of_Lithium_Ion_Cells,Included_Components,Country_of_Origin,Item_Weight,Sensitivity,Headphones_Jack,Model_Name,Connectivity_Technology,Wireless_Communication_Technology,Age_Range,Material,Specific_Uses_For_Product,Charging_Time,Recommended_Uses_For_Product,Compatible_Devices,Control_Type,Control_Method,Control_Type_Method,Cable_Feature,Number_of_Items,Battery_Life,Audio_Driver_Type,Audio_Driver_Size,Bluetooth_Range,Bluetooth_Version,Earpiece_Shape,Special_Feature,Special_Features,Product_Dimensions,Batteries,Batteries_Included,Batteries_Required,Battery_Cell_Composition,Includes_Rechargeable_Battery,Style,Controller_Type,Carrying_Case_Material,Carrying_Case_Color,Series_Number,UPC,Does_it_contain_liquid,Model,Item_model_number,Series_number,Cable_Length,Frequency_Range,Impedance,Battery_Type,Battery_cell_composition,Age_Range_Description,Water_Resistance_Level,Net_Quantity
"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",-69%,₹799₹799,249,Blue,In Ear,,,,,,,,,,,,,,,,,,,,,"High Call Quality with AI: With Precise Voice Pickup Technology, conversations are ultra clear, even in noisy environments. Our noise reduction algorithm uses AI machine learning to suppress ambient noise and extract your voice clearly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony WF-C710N | Dual Noise Cancellation Wireless Bluetooth in Ear Earbuds | AI Call Quality | 40Hrs Battery W/O ANC | 30Hrs Battery with ANC - Blue,-36%,"₹12,990₹12,990","8,378.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,"Dual-Connections: Connect to two devices simultaneously with Bluetooth 5.0 and instantly switch between them. Whether you're working on your laptop, or need to take a phone call, audio will automatically play from the device you need to hear from.",,,,,,,,Previous page,,,,,,,,,,,,,,,,,,,,,,,
"soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Bluetooth Headphones with Multiple Modes, Hi-Res Sound, Custom Eq Via App, 40H Playtime, Comfortable Fit, Multipoint Connection - Over Ear",-57%,"₹15,998₹15,998","6,896.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Zebronics Zeb-Storm On Ear Wired Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",,"₹1,199.00₹1,199.00",799,White,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tune510BT,,,,,,,,,,,,32 Ohm,,,,,
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (White)",-56%,"₹4,499₹4,499","1,999.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,4.24.2 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audio-Technica Ath-M20Xbt Wireless Over-Ear Headphones, Bluetooth 5.0, 60-Hour Battery Life, 40 mm Drivers, Hi-Fi Sound, Built-in Mic, AAC/SBC Codec Support (Black)",-44%,"₹7,98,900.00₹7,98,900.00","7,989.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,Rapid Charge: 10 Minutes = 4 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Riff 2 On-Ear Wireless Headphones, 34 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Black",-76%,"₹16,999₹16,999","3,999.00",Sage Green,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 430 W/ 40Mm Drivers, Beast Mode W/ 40Ms Latency, 40Hrs Playback, Enx Tech, Voice Assistant, Btv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Sage Green)",-48%,"₹2,490₹2,490","1,299.00",White,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Ohm,,,,,
"Sony MDR-ZX110A On Ear Stereo Wired Headphones (White), Without Mic",-43%,"₹1,390₹1,390",799,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HyperX Cloud Stinger 2 Core Essential PC Gaming Wired Headset, Lightweight Over Ear Headset with mic, Swivel-to-Mute Function, 40mm Drivers (683L9AA), Black",-48%,"₹4,797₹4,797","2,499.00",Black,,,,,,,,,,,,,,,,,,,,,,"₹2,195.00₹2,195.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech G435 Light Speed and Lightweight Gaming Bluetooth Wireless Over Ear Headphones with Mic, 18H Battery, Compatible for Dolby Atmos, Pc, Ps4, Ps5, Mobile - (Black)",-47%,"₹9,595₹9,595","5,045.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Skullcandy Icon ANC On-Ear Wireless Bluetooth Headphones - Active Noise Cancelling, 60Hr Battery + Rapid Charge, Mic, Adjustable Stay-Aware Mode – Black",-73%,"₹7,99,900.00₹7,99,900.00","7,999.00",Teal Green (Zeb-Thunder),Over Ear,,,,,"Soft & comfortable earcups: Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear, All this with long playback time of 60 hours in BT mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Thunder Bluetooth 5.3 Wireless Over Ear Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Teal Green)",-53%,"₹1,699₹1,699",799,Furious Red,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,›,16 Ohm,,,,,
boAt Bassheads 100 in Ear Wired Headphones Earphones with Mic (Furious Red),-65%,₹999₹999,349,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"JBL Tour One M2 Adaptive Noise Cancelling Bluetooth Over Ear Headphones,Spatial Sound,Smart Ambient,50Hrs Playtime,BT 5.3 Le,Quick Charge,Multi Point Conectivity,Built-in Alexa,2 Years Warranty(Black)",-49%,"₹34,999₹34,999","17,999.00",Black,Over Ear,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K92 Closed Back Headphones,-53%,"₹6,748₹6,748","3,199.00","Black,",Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 Ohm,,,,,
Razer BlackShark V2 X USB Wired Esports Gaming Headset: 7.1 Surround Sound - 50mm Drivers - 240g Lightweight Build - Noise Cancelling Mic - Hybrid Memory Foam Cushions - Black-RZ04-04570100-R3M1,-58%,"₹8,999₹8,999","3,799.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Design 1,,,,,,,,,,,,,,,,,
"Amazon Basics RGB Wired Gaming On Ear Gaming Headphone, 2 Meter Braided Cable, with Mic, Breathable Fabric Earcups, Sleek Design, 3.5mm Connector (USB A only for RGB, Black)",-77%,"₹3,999₹3,999",929,Midnight Blue,In Ear,,,,,,No Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt 2025 Launch Airdopes Plus 311,Glass Design,ENx Tech,50 H Battery, Fast Charge, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Midnight Black)",-77%,"₹3,990₹3,990",899,Black- Purple,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Kreo Beluga V2 Wired Over Ear Gaming Headset, 50mm Oraphene Drivers, Duel Chamber, Flip to Mute Mic, Memory Foam Earpads, Lightweight Aluminum Built, PC, PS4, PSS Mobile",-44%,"₹4,500₹4,500","2,499.00",Red (Zeb-Thunder),Over Ear,,,,,"Soft & comfortable earcups: Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear, All this with long playback time of 60 hours in BT mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Thunder Bluetooth 5.3 Wireless Over Ear Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Red)",-43%,"₹1,399₹1,399",799,Blue,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portronics Harmonics Z5 Wireless Bluetooth Stereo Headset with 33Hrs Playtime, Double EQ Mode, 14.2 mm Dynamic Drivers, Click Action Buttons(Blue)",-75%,"₹2,499₹2,499",629,Blue & Green,Over Ear,,,,,,,,,,,"[Durable and Sturdy] The wired headphones are covered with Nylon braided cord, which is a tangle-free cable that prevents tugging or knotting. EarFun headband headphones can stand being squished in the bag or dropped, even with any tough twists and pulling. Please be assured that It's enough durable to use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"EarFun Kids Headphones with Mic for Boys and Girls, Over Ear HD Stereo Headphone for Children, 85/94dB Volume Limiter, Sharing Port, Foldable On Ear Headsets with Mic for School/Pad/PC/Travel, Blue",-38%,"₹2,099₹2,099","1,299.00","Black,",Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser HD 599 Special Edition Open‑Back Audiophile Headphones, German-Irish Craftsmanship, Detachable Cables, E.A.R. Technology for Wide Sound Field, Comfort-Fit for Gaming, 2‑Year Warranty",-48%,"₹20,990₹20,990","10,990.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,"Adjustable Noise-Cancelling Microphone- Ant Esports Stealth 10 wireless headset is equipped with a sensitive, adjustable microphone and noise-cancelling technology. Its excellent noise control effectively eliminates background noise while capturing your voice clearly, ensuring clear communication during gameplay with real-time, lag-free chats. The long, flexible microphone can be adjusted up to 120°, offering a more comfortable fit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ant Esports Stealth 10 Wireless Gaming Headset with Noise Cancelling Microphone for PC, PS5, PS4, Mac, 2.4 GHz Wireless & BT 5.4 Gaming Headphones, Cool RGB Lighting, 35Hr Battery, 50mm Drivers-Black",-22%,"₹2,999₹2,999","2,349.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser HD 450BT Wireless Headphones, German Design, ANC, Alexa Built-in, 30H Battery, Comfortable & Lightweight Over Ear Design, Built-in Mic for Clear Calls, Fast Charging, 2Y Warranty, Black",-33%,"₹14,990₹14,990","9,990.00",Black,Over Ear,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
K72 Closed Back Studio Headphones,-52%,"₹5,965₹5,965","2,879.00",White,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
SpinBot Ranger HX300 Wireless Bluetooth Over The Ear Headphones with up to 50ms Low Latency and Flip Boom Mic | 7 Mode RGB Lights | Dedicated Game Mode | Up to 18 Hours of Battery Backup (White),-43%,"₹2,999₹2,999","1,699.00",Black - Hard Shell EVA,Case,,,,,,,,,,,,,,,Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon Basics Hard Shell EVA Headphone Carrying Case for Universal Oversized Over-Ear Headset, Shockproof, Water Repellent, Anti-Pressure Portable Protective Pouch/Storage Bag, Black",-58%,"₹1,299₹1,299",549,Obsidian Grey,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Airdopes Prime 701 ANC (2025 Launch),46dB Hybrid ANC, 50Hr Battery, Real Spatial Audio,Multidevice Connect,App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Obsidian Grey)",-72%,"₹7,990₹7,990","2,199.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 Ohm,,,,,
"ZEBRONICS SILENCIO 111, Wireless Headphone, Hybrid ANC (50dB), 55*Hrs Backup, Transparency Mode, 40mm Titanium Drivers, 3 EQ Modes, ENC, Gaming Mode, Dual Pairing, Rapid Charge, Bluetooth v5.4 (Black)",,"₹1,999.00₹1,999.00","1,099.00",White,Over Ear,,,,,,,,,,,,,,,,,,,,,4.24.2 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bose New QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-The-Ear Headphones with Mic, Up to 24 Hours of Battery Life, White Smoke",,"₹34,990.00₹34,990.00","35,900.00",Black (Zeb-Envy 2),Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Envy 2, Wireless Over Ear Headphone, ENC, Upto 65* Hours Playback, Gaming Mode, Dual Pairing, Bluetooth v5.3, AUX, Call Function, Voice Assistant, Foldable Design, Detachable Mic (Black)",-48%,"₹3,299₹3,299","1,699.00",WHITE,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
Armor Version.H1 Wired Over Ear Gaming Headphones with Mic (Detachable) | 50mm Neodymium Drivers with 7.1 Surround Sound & Noise Cancellation | RGB Loop Lights & Type C | for PC/PS/Xbox/Nintendo,-13%,"₹3,999₹3,999","3,499.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Cassette Bluetooth 5.0 On-Ear Wireless Headphones with Mic, 22Hr Playtime, Rapid Charge, Collapsible Design – Black",-69%,"₹7,999₹7,999","2,499.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Ohm,,,,,
Sony ZX Series MDR-ZX310AP Wired Headband Stereo On Ear Headset -Black,-54%,"₹2,190₹2,190",999,"Ivory,",Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 599 Wired,,,,,,,,,,3m detachable cable,,50 Ohm,,,,,
"Sennheiser HD 599 Open‑Back Audiophile Headphones, German-Irish Craftsmanship, Wide Soundstage, Detachable Cables, Ergonomic acoustic refinement design, Comfort-Fit for Gaming, 2‑Year Warranty",-48%,"₹20,990₹20,990","10,990.00",White,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Zebronics Storm Wired On Ear Headphone with 3.5mm Jack, Built-in Microphone for Calling,1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband,Foldable Ear Cups(White)",-38%,₹799₹799,499,Black,On Ear,,,,,,,,,,,,,,,,,,,,,"₹1,499.00₹1,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,100 Ohm,,,,,
"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, in-Line Controls, Works with Chromebook - Graphite",-45%,"₹5,295₹5,295","2,899.00",White,In Ear,,,,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tune 310C,,,,,,,,,,,,,,,,,
"JBL Tune 310 Wired in Ear Type C Headphones, Hi-Res Audio with Digital-to-Analog Converter, 3-Button EQ Preset Remote with Microphone, Tangle-Free Flat Cable, Compatible with USB-C Devices (White)",-37%,"₹1,999₹1,999","1,257.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monitor III,,,,,,,,,,
Marshall Monitor III Active Noise Canceling Over Ear Bluetooth Headphones,,"₹34,990.00₹34,990.00","29,999.00",Fern Green,In Ear,,,,,,,Monitor III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"boAt Rockerz 110/Rockerz 109 Wireless in Ear Neckband with Up to 60 Hrs Playtime,Dual Device Pairing,Enx Tech,Beast Mode,ASAP Charging,Btv5.3,IPX5,Type-C Interface & Magnetic Power Buds(Fern Green)",-68%,"₹2,490₹2,490",799,Cyan,Over Ear,,,,,,USB 2.0,,,,,,,,,₹99.00₹99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAMMER Blaze Wired Over Ear Gaming Headphones with Mic, 50mm Drivers, Full RGB Lights, Gaming Headset with Adjustable Bands, Breathable earcushion, 1.5Mtr Wire with USB (Cyan)",-82%,"₹8,999₹8,999","1,599.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Zeb-Dynamic with Bluetooth Supporting Headphone, Aux Input, Call Function and Media/Volume Control",-56%,"₹1,799₹1,799",799,White,Over Ear,,,,,,,,,,,,,,,,,,,,,4.34.3 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bose New QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up to 24 Hours of Battery Life - White",,"₹34,990.00₹34,990.00","27,900.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,60 hours(BT+ANC),,,,,,,,,,,,,,,,,,,,,,,,,,560 Ohm,,,,,
"Sennheiser Accentum Wireless Bluetooth Over Ear Headphones with Mic -Designed in Germany Audio,50Hr Battery,10 Min Quick Charge = 5Hr Playback,Hybrid ANC",-13%,"₹14,990₹14,990","12,989.00",Black,In Ear,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 Ohm,,,,,
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),-60%,₹999₹999,399,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,3.73.7 out of 5 stars,,,,,,,,,,,,,,"Compatibility: Works seamlessly with PC, PS4, PS5, mobiles, tablets, laptops, and Xbox, providing versatile use across all your favorite devices.",,,,,,,,,,,,16 Ohm,,,,,
"Cosmic Byte Immortal 2.4Ghz Wireless + Bluetooth + Wired Headphone, 20ms Latency, 40Hrs Battery Life, 50mm Driver, RGB LED, Fabric Cushions, Detachable ENC Microphone (Black)",-65%,"₹5,999₹5,999","2,099.00",Blue,In Ear,,,,,,,,,,,,,,,,,,,,,Sound Quality : DSEE restores high frequency sounds lost in compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in Ear Bluetooth Headset with Mic for Phone Calls (Blue)",-39%,₹84.95₹84.95,"1,699.00",Olive Green (Zeb-Thunder Pro),Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,›,,,,,,,,,,
"ZEBRONICS Thunder Pro Wireless Over Ear Headphone with Dual Pairing, Gaming Mode, Enc, Bluetooth, Call Function, Aux, Micro Sd, Voice Assistant, Deep Bass, Up to 60H Backup (Olive Green)",-53%,"₹1,899₹1,899",899,Blue,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUNE760NC,,,,,,,›,,,,,32 Ohm,,,,,
"JBL Tune 760NC, Wireless Over Ear Active Noise Cancellation Headphones with Mic, Upto 50 Hours Playtime, Multi-Device Connectivity, Pure Bass, AUX & Voice Assistant Support for Mobile Phones (Blue)",-31%,"₹7,999₹7,999","5,498.00",White,,,,,,,3.5 mm Jack,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G+ Headphones White,,,,,,,,,,
"GM G+ Headphones, Over The Ear Headphones with Mic, BT 5.3, Pure Bass, 45ms Low Latency, Dual Pairing, 4 Play Modes (FM, Radio, SD Aux) 55H Playtime - White",-53%,"₹3,299₹3,299","1,549.00",Black,Over Ear,,,,,,,G+ Headphones White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"amazon basics Wired Over Ear Gaming Headphones mic for PC, Laptop | Static RGB | (Black)",-60%,"₹2,499₹2,499",999,White,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Hesh ANC Over-Ear Wireless Headphones, 22Hr Battery, Active Noise Cancellation, Ambient Mode, Rapid Charge, 4-Mic System – Mod White",-80%,"₹5,99,900.00₹5,99,900.00","5,999.00",Hazel Beige,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 551 ANC Pro(2025 Launch),42Db Hybrid Adaptive,App Support,72Hrs Battery,40Mm Titanium Drivers,Enx Tech,Foldable Cups Bluetooth Over Ear Headphone,Wireless Headphone with Mic(Hazel Beige)",-56%,"₹8,990₹8,990","3,999.00",Black,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endurance Run-2,,,,,,,,,,,,,,,,,
"JBL Endurance Run 2, Sports in Ear Wired Earphones with Mic, Pure Bass, Sweatproof, Flexsoft eartips, Magnetic Earbuds, Fliphook & TwistLock Technology with Voice Assistant Support for Mobiles (Black)",-44%,"₹1,799₹1,799",999,Bone Seafoam,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Skullcandy Grom Over-Ear Wired Headphones for Kids, Volume-Limiting, Share Audio Port, Microphone, Work with Bluetooth Devices and Computers- Bone Seafoam",-69%,"₹7,999₹7,999","2,499.00",Pink,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Airdopes 311 Pro, 50H Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, BT v5.3, Wireless TWS in Ear Earbuds with mic (Lavender Rush)",-82%,"₹4,990₹4,990",899,White,In Ear,,,Show More,,,3.5 mm Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRONTECH Wired Over-Ear Multimedia Headphones with Mic | 3.5mm Single Audio Jack| Adjustable Headband & Soft Cushions | Compatible with PC, Laptop & Mobile – White & Blue (HF-3452)",-66%,"₹41,900.00₹41,900.00",419,Black,,,,,,,,,,,,Faux Leather,,,,JBL Infinity Glide 500 & 700 Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 Count
"Street27® Ear Pads Replacement Compatible with JBL Infinity Glide 500 & 700, Boat Rockerz 600/610 Headphones, Protein Leather, Soft Memory Foam Earpads Cushions - Black",-65%,₹849₹849,298,Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Duke 2 PRO, On Ear Wireless Headphone, 50 Hours Playback, ENC, Rapid Charging, Dual Pairing, 3 EQ Modes, Bluetooth v5.4, Call Function, Voice Assistant, Gaming Mode (Black)",-63%,"₹2,999₹2,999","1,099.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,30 hours BT,,,,,,,,,,,,,,,,,,,,,,,,,,28 Ohm,,,,,
"Sennheiser HD 350BT Wireless Headphones, German Design, Upto 30H Battery, Comfortable & Lightweight Over Ear Design, Built-in Mic for Clear Calls, Fast Charging, 2Y Warranty, Black",-22%,"₹8,990₹8,990","6,990.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Jabra Evolve 10, On Ear Noise Cancellation Mic with Fully Adjustable Boom Arm and USB-A Connectivity Stereo Headset, Black",-47%,"₹5,550₹5,550","2,949.00",White,In Ear,,,,,,,,,,,,,,,,,,,,,3.13.1 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OOGE Echo 300 Wireless Bluetooth Headphones (White) | 10mm Drivers, Soft Cushions, Balanced Acoustic Sound, AUX Support, Bluetooth 5.3, Long Battery Life, Foldable, Lightweight, Clear Audio",-61%,"₹97,000.00₹97,000.00",970,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"FRONTECH Multimedia Wired Headphone with Mic| Volume Control| Dynamic Sound| Adjustable Height| 40mm Speaker| USB Plug (HF-3451, Black)",-44%,"₹1,400₹1,400",789,Blue,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Zeb-Storm Wired On Ear Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Blue)",-38%,₹799₹799,499,Black,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 Ohm,,,,,
"Sennheiser CX 80s Wired in Ear Earphones with in-Line Microphone, Superior Sound, One Button Smart Control, Lightweight Design, 3.5mm Jack, 3 Ear Tip Sizes, 2Y Warranty, Black",-32%,"₹2,490₹2,490","1,690.00",multi,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unicorn blue headphone,,,,,,,,,,,,32 Ohm,,,,,
Tera13 Unicorn Over Ear Wired Headphones with Adjustable Headband 3.5 mm Jack & Mic for Kids Birthday Gift/Work from Home | E-Learning/Online Classes with Mic (Unicorn Blue Headphone),-5%,₹449₹449,428,Black,Over Ear,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
K52 Closed Back Headphones,-51%,"₹5,401₹5,401","2,649.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"JBL Tune 720BT Wireless Over Ear Headphones with Mic, Pure Bass Sound, Upto 76 Hrs Playtime, Speedcharge, Dual Pairing, Customizable Bass with Headphones App, Lightweight, Bluetooth 5.3 (Black)",-18%,"₹6,079₹6,079","4,999.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 Ohm,,,,,
Sennheiser Professional Audio HD 280 PRO Wired Over Ear Headphones without microphone,-31%,"₹1,622.50₹1,622.50","6,490.00","White,",Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Over Ear 350BT,,,,,,,,,,,,,,,,,
"Sennheiser HD 350BT Wireless Headphones, German Design, Upto 30H Battery, Comfortable & Lightweight Over-Ear Design, Built-in Mic for Clear Calls, Fast Charging, 2Y Warranty, White",-7%,"₹7,490₹7,490","6,990.00",White,On Ear,,,,,,,,,,,,,,,,,,,,,4.14.1 out of 5 stars,,,,,,,,,,,,,,INZONE H9/White,,,,,,,,,,,,32 Ohm,,,,,
"Sony INZONE H9, WH-G900N Wireless Noise Cancelling Gaming Headset, Over Ear Headphones with 360 Spatial Sound, 32 Hours Battery Life, Flip to Mute Mic, Mobile, Laptop, PS5 & PC Compatible (White)",-21%,"₹27,990₹27,990","21,990.00",Black,Over Ear,,,,,,,,,,,,,,,,›,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,
