Product_Name,Selling_Price,MRP,Discount,Noise_Control,Sensitivity,Headphones_Jack,Model_Name,Connectivity_Technology,Wireless_Communication_Technology,Included_Components,Material,Specific_Uses_For_Product,Charging_Time,Compatible_Devices,Item_Weight,Water_Resistance_Level,Net_Quantity,Style,Control_Method,Number_of_Items,Battery_Life,Audio_Driver_Type,Bluetooth_Version,Audio_Driver_Size,Earpiece_Shape,Special_Features,Manufacturer,Model,Product_Dimensions,Item_Model_Number,Batteries,Batteries_Required,Country_of_Origin,Noise Control,Headphones Jack,Model Name,Connectivity Technology,Wireless Communication Technology,Included Components,Specific Uses For Product,Charging Time,Compatible Devices,Item Weight,Water Resistance Level,Net Quantity,Control Method,Number of Items,Battery Life,Audio Driver Type,Bluetooth Version,Audio Driver Size,Earpiece Shape,Special Feature,Special Features,Product Dimensions,Item model number,Batteries Required,Country of Origin
"boAt Rockerz 110/Rockerz 109 Wireless in Ear Neckband with Up to 60 Hrs Playtime,Dual Device Pairing,Enx Tech,Beast Mode,ASAP Charging,Btv5.3,IPX5,Type-C Interface & Magnetic Power Buds(Fern Green)",699.,"₹2,490₹2,490",-72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 255 Z Plus,AI-Enx Tech,Spatial Audio,50HRS Battery,Low Latency Mode,Fast Charge,App Support,IPX4,GFPS,BT V5.3,Bluetooth Neckband,Wireless with Mic in Ear Earphones (Slate Grey)",999.,"₹4,490₹4,490",-78%,,,,,,,,,,,,,,,50 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon Basics RGB Wired Gaming On Ear Gaming Headphone, 2 Meter Braided Cable, with Mic, Breathable Fabric Earcups, Sleek Design, 3.5mm Connector (USB A only for RGB, Black)",929.,"₹3,999₹3,999",-77%,,,,,,,,,,,,,,,Design 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech G435 Light Speed and Lightweight Gaming Bluetooth Wireless Over Ear Headphones with Mic, 18H Battery, Compatible for Dolby Atmos, Pc, Ps4, Ps5, Mobile - (Black)","5,045.","₹9,595₹9,595",-47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"soundcore by Anker,Space One Active Noise Cancelling Bluetooth Over Ear Headphones with Travel Pouch,2X Stronger Voice Reduction,40H ANC Playtime,App Control,Ldac Hi-Res,Ergo Design for Comfort Fit","5,999.","₹19,998₹19,998",-70%,,,,,,,,,,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K92 Closed Back Headphones,"2,959.","₹6,748₹6,748",-56%,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt 2025 Launch Airdopes Plus 311,Glass Design,ENx Tech,50 H Battery, Fast Charge, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Midnight Black)",799.,"₹3,990₹3,990",-80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 245 v2 Pro, 30HRS Battery, ENx Tech, Fast Charge, Low Latency, Dual Pairing, Magnetic Ear Buds, IPX5, Type-C Interface, Bluetooth Neckband with Mic in Ear Earphones (Active Black)",799.,"₹3,490₹3,490",-77%,,,,,,,,,,,,,,,30 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JBL Tour One M2 Adaptive Noise Cancelling Bluetooth Over Ear Headphones,Spatial Sound,Smart Ambient,50Hrs Playtime,BT 5.3 Le,Quick Charge,Multi Point Conectivity,Built-in Alexa,2 Years Warranty(Black)","14,999.","₹34,999₹34,999",-57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 430, 40mm Drivers, Beast Mode (40ms Latency), 40hrs Playback, ENx Tech, Voice Assistant, BTv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Bold Blue)","1,299.","₹1,299.00₹1,299.00",-48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jabra Evolve 10, On Ear Noise Cancellation Mic with Fully Adjustable Boom Arm and USB-A Connectivity Stereo Headset, Black","3,199.","₹5,550₹5,550",-42%,,,,,,,,,,,,,,,,,,,,,,,,What is Pay on Delivery (Cash/Card)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cosmic Byte Immortal 2.4Ghz Wireless + Bluetooth + Wired Headphone, 20ms Latency, 40Hrs Battery Life, 50mm Driver, RGB LED, Fabric Cushions, Detachable ENC Microphone (Black)","2,099.","₹5,999₹5,999",-65%,,,,,,,,,,,,,,,"Compatibility: Works seamlessly with PC, PS4, PS5, mobiles, tablets, laptops, and Xbox, providing versatile use across all your favorite devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Thunder Bluetooth 5.3 Wireless Over Ear Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Red)",599.,"₹1,399₹1,399",-57%,,"Soft & comfortable earcups: Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear, All this with long playback time of 60 hours in BT mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portronics Harmonics Z5 Wireless Bluetooth Stereo Headset with 33Hrs Playtime, Double EQ Mode, 14.2 mm Dynamic Drivers, Click Action Buttons(Blue)",629.,"₹2,499₹2,499",-75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noise Airwave Max 4 Wireless Over Ear Headphones with 70H Playtime, ENC, 40mm Driver, Low Latency(up to 40ms), Dual Pairing, BT v5.4 (Tropical Teal)","1,699.","₹5,999₹5,999",-72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kreo Beluga V2 Wired Over Ear Gaming Headset, 50mm Oraphene Drivers, Duel Chamber, Flip to Mute Mic, Memory Foam Earpads, Lightweight Aluminum Built, PC, PS4, PSS Mobile","2,499.","₹4,500₹4,500",-44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS SILENCIO 111, Wireless Headphone, Hybrid ANC (50dB), 55*Hrs Backup, Transparency Mode, 40mm Titanium Drivers, 3 EQ Modes, ENC, Gaming Mode, Dual Pairing, Rapid Charge, Bluetooth v5.4 (Black)","2,499.","₹8,999₹8,999",-72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HyperX Cloud Stinger 2 Core Essential PC Gaming Wired Headset, Lightweight Over Ear Headset with mic, Swivel-to-Mute Function, 40mm Drivers (683L9AA), Black","2,199.","₹4,797₹4,797",-54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bose New QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-The-Ear Headphones with Mic, Up to 24 Hours of Battery Life, White Smoke","24,989.","₹35,900₹35,900",-30%,,,,,,,,,,,,,,,,,,,,,,,,What is Cash/Pay on Delivery?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bose New QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-The-Ear Headphones with Mic, Up to 24 Hours of Battery Life, White Smoke","24,989.","₹35,900₹35,900",-30%,,,,,,,,,,,,,,,,,,,,,,,,What is Cash/Pay on Delivery?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon Basics Hard Shell EVA Headphone Carrying Case for Universal Oversized Over-Ear Headset, Shockproof, Water Repellent, Anti-Pressure Portable Protective Pouch/Storage Bag, Black",499.,"₹1,299₹1,299",-62%,,,,,,,,,,,,,,,Hard Shell EVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAMMER Blaze Wired Over Ear Gaming Headphones with Mic, 50mm Drivers, Full RGB Lights, Gaming Headset with Adjustable Bands, Breathable earcushion, 1.5Mtr Wire with USB (Cyan)","1,599.","₹8,999₹8,999",-82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marshall Minor Iv Wireless in Ear Earbuds with 30+ Hours of Playtime, Water-Resistant, Wireless Charging- Black","9,999.","₹11,999₹11,999",-17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer BlackShark V2 X USB Wired Esports Gaming Headset: 7.1 Surround Sound - 50mm Drivers - 240g Lightweight Build - Noise Cancelling Mic - Hybrid Memory Foam Cushions - Black-RZ04-04570100-R3M1,"3,799.","₹8,999₹8,999",-58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Basics Pro Series Noise Cancellation Tri Mode On-Ear PC Headphone with Mic | 2.4 GHz Wireless | Bluetooth | Wired Connection | 30 Hours Playtime | 30 mm Driver | Type-C Charging Port (Black),"2,859.","₹5,999₹5,999",-52%,,,,,,,,,,,,,,,Wireless,,,,,,,,,,AB-EH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JBL Tune 310 Wired in Ear Type C Headphones, Hi-Res Audio with Digital-to-Analog Converter, 3-Button EQ Preset Remote with Microphone, Tangle-Free Flat Cable, Compatible with USB-C Devices (White)","1,299.","₹1,999₹1,999",-35%,,,,,,,,,,,,,,,Tune 310C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K72 Closed Back Studio Headphones,"2,663.","₹5,965₹5,965",-55%,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JBL Tune 760NC, Wireless Over Ear Active Noise Cancellation Headphones with Mic, Upto 50 Hours Playtime, Multi-Device Connectivity, Pure Bass, AUX & Voice Assistant Support for Mobile Phones (Blue)","5,999.","₹7,999₹7,999",-25%,,,,,,,,,,,,,,,TUNE760NC,,,,,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Version.H1 Wired Over Ear Gaming Headphones with Mic (Detachable) | 50mm Neodymium Drivers with 7.1 Surround Sound & Noise Cancellation | RGB Loop Lights & Type C | for PC/PS/Xbox/Nintendo,"3,499.","₹3,999₹3,999",-13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Hesh ANC Over-Ear Wireless Headphones, 22Hr Battery, Active Noise Cancellation, Ambient Mode, Rapid Charge, 4-Mic System – Mod White","4,999.","₹4,99,900₹4,99,900",-83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GM G+ Headphones, Over The Ear Headphones with Mic, BT 5.3, Pure Bass, 45ms Low Latency, Dual Pairing, 4 Play Modes (FM, Radio, SD Aux) 55H Playtime - White","1,549.","₹3,299₹3,299",-53%,,,,,,,,,,,,,,,,,,,,,,,,,G+ Headphones White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Cassette Bluetooth 5.0 On-Ear Wireless Headphones with Mic, 22Hr Playtime, Rapid Charge, Collapsible Design – Black","2,499.","₹7,999₹7,999",-69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PHILIPS Audio TAH4209BK/00 Bluetooth Headphones,Lightweight and Foldable Design, 32mm Neodynamic Drivers, 55H Playtime, USB Type-C Fast Charging, Built-in Mic for Smartphone, Laptop, Tablet (Black)","2,162.","₹4,999₹4,999",-57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser HD 450BT Wireless Headphones, German Design, ANC, Alexa Built-in, 30H Battery, Comfortable & Lightweight Over Ear Design, Built-in Mic for Clear Calls, Fast Charging, 2Y Warranty, Black","7,490.","₹14,990₹14,990",-50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Zeb-Storm Wired On Ear Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Blue)",399.,₹799₹799,-50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Monitor III Active Noise Canceling Over Ear Bluetooth Headphones,"29,999.","₹34,990.00₹34,990.00",,,,,,,,,,,,,,,,,,,,,,,,,,Monitor III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, in-Line Controls, Works with Chromebook - Graphite","2,890.","₹5,295₹5,295",-45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JLab JBuds LUX ANC Smart Active Noise Cancelling Headphones - Over Ear Wireless Headphones with Microphone, 70+ H Playtime Foldable Bluetooth Earphones with Multipoint & Customisable Sound, Graphite","3,999.","₹3,99,900.00₹3,99,900.00",-49%,,-32 +/- 2 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaupunkt EM06 in-Ear Type C Wired Earphone with Mic and Deep Bass HD Sound Mobile Headset with Noise Isolation,399.,"₹39,900.00₹39,900.00",-67%,,,,,,,,,,,,,,,EM06 Type C,,,,,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP H300 Over Ear Wireless Headset, Black","1,199.","₹3,749₹3,749",-68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in Ear Bluetooth Headset with Mic for Phone Calls (Blue)","1,699.",₹84.95₹84.95,-39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Street27® Ear Pads Replacement Compatible with JBL Infinity Glide 500 & 700, Boat Rockerz 600/610 Headphones, Protein Leather, Soft Memory Foam Earpads Cushions - Black",283.,₹849₹849,-67%,,,,,,,,Faux Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser CX 80s Wired in Ear Earphones with in-Line Microphone, Superior Sound, One Button Smart Control, Lightweight Design, 3.5mm Jack, 3 Ear Tip Sizes, 2Y Warranty, Black","1,490.","₹2,490₹2,490",-40%,,,,,,,,,,,,,,,,,,,,,,,,What is Cash/Pay on Delivery?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in Ear Bluetooth Headset with Mic for Phone Calls (Blue)","1,699.",₹84.95₹84.95,-39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Street27® Ear Pads Replacement Compatible with JBL Infinity Glide 500 & 700, Boat Rockerz 600/610 Headphones, Protein Leather, Soft Memory Foam Earpads Cushions - Black",283.,₹849₹849,-67%,,,,,,,,Faux Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser Momentum 4 Wireless Over Ear Headphones, German Design, ANC, 60h Battery, Customizable Sound, 4 Digital Mics for Crystal-Clear Calls, Multipoint Connectivity, 2 Yr Warranty, Black","20,990.","₹34,990₹34,990",-40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portronics Conch Theta A in Ear 3.5mm Wired Earphones with In Line HD Mic, Powerful Audio, 14.2mm Dynamic Driver, Unique Earbuds Design, TPE Anti Tangle Wire,In line Controls,Wide Compatibility(Black)",229.,₹699₹699,-67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OOGE Echo 300 Wireless Bluetooth Headphones (White) | 10mm Drivers, Soft Cushions, Balanced Acoustic Sound, AUX Support, Bluetooth 5.3, Long Battery Life, Foldable, Lightweight, Clear Audio",970.,"₹97,000.00₹97,000.00",-61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"amazon basics Wired Over Ear Gaming Headphones mic for PC, Laptop | Static RGB | (Black)",999.,"₹2,499₹2,499",-60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 551 ANC Pro(2025 Launch),42Db Hybrid Adaptive,App Support,72Hrs Battery,40Mm Titanium Drivers,Enx Tech,Foldable Cups Bluetooth Over Ear Headphone,Wireless Headphone with Mic(Hazel Beige)","3,299.","₹8,990₹8,990",-63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Zeb-Bang PRO Bluetooth v5.0 On Ear Headphone, 30H Backup, Foldable Design, Call Function, Voice Assistant Feature, Built-in Rechargeable Battery, Type C Charging, 40mm Driver and AUX. (Blue)",799.,"₹2,499₹2,499",-68%,,,,,,,,,,,,,,,Bang Pro (Blue ),,,,,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Envy 2, Wireless Over Ear Headphone, ENC, Upto 65* Hours Playback, Gaming Mode, Dual Pairing, Bluetooth v5.3, AUX, Call Function, Voice Assistant, Foldable Design, Detachable Mic (White)","1,299.","₹3,299₹3,299",-61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"amazon basics True Wireless in-Ear Earbuds with Mic, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 36 Hours Play Time, Voice Assistance and Fast Charging (White)",669.,"₹2,499₹2,499",-73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Smart Choice WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Life 30 Hours-Mid Night Blue","24,991.","₹34,990₹34,990",-29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Grom Over-Ear Wired Headphones for Kids, Volume-Limiting, Share Audio Port, Microphone, Work with Bluetooth Devices and Computers- Bone Seafoam","2,499.","₹7,999₹7,999",-69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),399.,₹999₹999,-60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EKSA E900 Wired Stereo Gaming Headset-Over Ear Headphones with Noise Canceling Mic, Detachable Headset Compatible with PS4, PS5, PC, Laptop (Red)","2,400.","₹3,990₹3,990",-40%,,118±3dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser HD 350BT Wireless Headphones, German Design, Upto 30H Battery, Comfortable & Lightweight Over-Ear Design, Built-in Mic for Clear Calls, Fast Charging, 2Y Warranty, White","5,990.","₹7,490₹7,490",-20%,,,,,,,,,,,,,,,Over Ear 350BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tera13 Unicorn Over Ear Wired Headphones with Adjustable Headband 3.5 mm Jack & Mic for Kids Birthday Gift/Work from Home | E-Learning/Online Classes with Mic (Unicorn Blue Headphone),428.,₹449₹449,-5%,,,,,,,,,,,,,,,unicorn blue headphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser HD 650 Open‑Back Hi-Res Audiophile Headphones, Reference Grade Sound, Airy Design, Plush Ear Pads, Rich Bass, Detachable Cables, Lighweight, Comfort-Fit for Gaming, 2Y Warranty, Black","23,990.","₹49,990₹49,990",-52%,,,,,,,,Acoustic Silk (Delicate mesh minimizes air turbulence),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K52 Closed Back Headphones,"2,497.","₹5,401₹5,401",-54%,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cosmic Byte Inferno 2.4Ghz Wireless + Bluetooth + Wired Headphone, Dual Mode, 20ms Latency, 40Hrs Battery Life, 50mm Driver, ENC Microphone, Breathable Fabric Cushions (Black)","2,899.","₹6,999₹6,999",-59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Professional Audio HD 280 PRO Wired Over Ear Headphones without microphone,"6,490.","₹1,622.50₹1,622.50",-31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech G431 with 7.1 Surround Sound, DTS X 2.0, 50 mm Audio Drivers, USB and 3.5 mm Jack, Flip-to-Mute Mic Wired Over Ear Headphones with Mic for PC - Black","3,995.","₹7,995₹7,995",-50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant Esports H525 Pro RGB Gaming Headset Gaming Over Ear Wired Headphones with Mic| 2 * 3.5MM Jack + USB for RGB Light |50 MM Drivers | Compatible with PC/ PS4/Xbox One/Nintendo/Mobile_Black,849.,"₹2,999₹2,999",-72%,,,,,,,,"Dual 3.5mm Audio Jack And 1 USB Plug for Customization: The Headset Is Designed to Suit Your Needs- It Comes With 2*3.5mm Jack- When in Game Mode or Interaction Mode, Connect Both the Jack (Audio, Mic) and USB For RGB Lighting Effect on Headset. When You Need to Enjoy Your Favourite Music or Watch Movie Just Connect the Audio Jack and Be Lost in The Realistic Sound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HyperX Cloud II – Wired Gaming Headset for PC, PS5 / PS4. Active Noise Cancellation, Over Ear, circumaural, Closed Back, Virtual 7.1 Surround Sound - Black-Red (4P5M0AA)","5,001.","₹12,987₹12,987",-61%,,,,,,,,,,,,,,,Cloud II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"iClever BTH13 Bluetooth Kids Headphones with Mic, Over Ear Headphone Wireless Cat Ear Headphones for Girls Birthday Gift Safe Volume Limited, 45H Playtime Portable Headset for Tablet/PC, Pink","2,899.","₹3,999₹3,999",-28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"iClever Girls Headphones, Kids Wireless Headphones with 74/85/94dB Volume Limited Over Ear, 40H Playtime, Bluetooth 5.0, Kids Headphones with Mic for School/Tablet/PC/Airplane, Purple","2,324.","₹3,999₹3,999",-42%,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Bassheads 122 ANC Wired in Ear Earphones with 25Db Active Noise Cancellation, 13Mm Drivers, Ambient Mode, Type-C Jack, in-Line Microphone, Snug Fit & Multi-OS Compatibility(Black)",799.,"₹2,999₹2,999",-73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cosmic Byte GS430 Gaming wired over ear Headphone, 7 Color RGB LED and Microphone",799.,"₹1,499₹1,499",-47%,,,,,,,,,,,,,,,,,,,,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HyperX Cloud Stinger 2 Greatness Refined, Lightweight Wired Over Ear Headset with mic, Swivel-to-Mute Function, 50mm Drivers, PC Compatible - Black (519T1AA)","2,999.","₹6,097₹6,097",-51%,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHOKZ OpenRun Pro 2 Mini Bone Conduction Sport Headphones, Open-Ear Wireless Earphones with Bluetooth 5.3, Noise Cancelling Mics, IP55 Waterproof, 12h Playtime for Running, USB-C Quick Charge (Black)","15,299.","₹25,799₹25,799",-41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PunnkFunnk K20 Gaming Wired Over Ear Gaming Headphones with Mic, Compatible with Ps4, Xbox One, Nintendo Switch, Pc, Mac, Laptop, Black",855.,"₹3,999₹3,999",-79%,,,,,,,,,,,,,,,K20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M30X On-Ear Stereo Headphone (Black),"6,498.","₹12,862₹12,862",-49%,,96dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy Grom Over-Ear Wireless Headphones for Kids, Volume-Limiting to 85dB + 45Hr Playtime + Rapid Charge Override Function, Adjustable Headband Strap & Collapsible Design- Black","3,699.","₹15,999₹15,999",-77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK LIFE BORN TO LIVE- K8-BIS Certified 5.3V with Type C Jack Wireless/Wired Kids Headphones with Mic for Girls/Boys Gifts Cat Ear Bluetooth Online Learning School- Black,"1,576.","₹3,599₹3,599",-56%,,,,,,,,ABS K8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intex Magna Wired USB Headphone with Microphone | 40Mm Drivers & Lightweight | Crystal Clear Sound with Audio Control Keys | Over Ear Design with Mic (Black),899.,"₹1,499₹1,499",-40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JBL Quantum 100M2 Wired Gaming Headphones, Supports Windows sonic spatial audio,40mm Realistic Dynamic Drivers, Omnidirectional Detachable Mic, Breathable Memory Foam cushions, PC/Xbox/PS/3.5mm-Purple","2,999.","₹4,499₹4,499",-33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech H540 Stereo Wired Headphones On Ear Headphones With Mic With Noise-Cancelling Usb, On Ear Controls, Mute Indicator Light, Pc/Mac/Laptop - (Black)","3,607.","₹5,995₹5,995",-40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS DUKE 2 Wireless Headphone, Supports Bluetooth, Dual Pairing, Deep Bass, up to 60h Battery Backup, AUX, Environmental Noise Cancellation, Gaming Mode, Now with Type C Charging (Red )",999.,"₹2,199₹2,199",-55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Hesh EVO Over Ear True Black.,"5,999.","₹5,99,900.00₹5,99,900.00",-74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
