Product_Name,Discount,MRP,Selling_Price,Brand,Manufacturer,Series,Colour,Form_Factor,Standing_Screen_Display_Size,Screen_Resolution,Resolution,Package_Dimensions,Item_Model_Number,Processor_Brand,Processor_Type,Processor_Speed,Processor_Count,Memory_Technology,Computer_Memory_Type,Maximum_Memory_Supported,Hard_Disk_Description,Hard_Drive_Interface,Graphics_Coprocessor,Graphics_Chipset_Brand,Graphics_Card_Description,Graphics_RAM_Type,Graphics_Card_RAM_Size,Graphics_Card_Interface,Connectivity_Type,Wireless_Type,Number_of_HDMI_Ports,Optical_Drive_Type,Operating_System,Are_Batteries_Included,Lithium_Battery_Energy_Content,Number_of_Lithium_Ion_Cells,Included_Components,Country_of_Origin,Item_Weight
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue",-48%,"₹25,000₹25,000","12,990.",‎Jio,"‎Hunan Greatwall Computer System Co.,Ltd, Tianyi Science and Technology City, Xiangyun Middle Road Tianyuan District, Zhuzhou , Hunan Province, China 412000; Contact: 1800 89 09999 ; email: care@jio.com, Hunan Greatwall Computer Systems Co., Ltd.",‎JioBook,‎Blue,‎Ultra-Portable,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,,‎NB1112MM(BLU),‎MediaTek,‎Others,‎2 GHz,‎8,‎LPDDR4,‎DDR4 SDRAM,‎4 GB,‎Emmc,‎USB,‎ARM Mali G72 MP3 @800 MHz,‎MediaTek,‎Integrated,‎Shared,,‎Integrated,‎Bluetooth,‎802.11abg,‎1,‎eMMC,‎JioOS,‎Yes,‎4000 Milliamp Hours (mAh),‎2,"‎Charger, Laptop",‎China,‎990 g
"HP 14, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, 14/35.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.4kg, FHD Camera w/Privacy Shutter, ep0341TU",-27%,"₹50,843₹50,843","36,990.",‎HP,"‎HP, SG68- Wistron Wistron Infocomm ( Chongqing) Co.Ltd., No.18-9, Baohong Avenue, Wangjia Sub-District, Yubei District, Chongqing (China)",‎HP Laptop,‎Silver,‎Clamshell,‎35.6 Centimetres,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎44.9 x 30.9 x 6.9 cm; 1.4 kg,‎BG6D4PA,‎Intel,‎Core i3,‎4.5 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎USB,‎Intel UHD Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Wi-Fi,‎802.11bgn,‎1,,‎Windows 11 Home,‎Yes,‎41 Watt Hours,‎3,"‎Laptop, charger",‎China,‎1 kg 400 g
"ULTIMUS Pro Intel Celeron Dual Core Laptop 4GB RAM, 128GB M.2 Emmc Expandable~512GB Intel HD Graphics 2.0x1 3.0x1 USB HDMI Sd Card Slot ‎LPDDR4 Dual Speaker Dual Microphone Win 11 Home Gray, 1.2 kg",-54%,"₹24,990₹24,990","11,490.",‎FUTOPIA,"‎Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com, ‎Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com",‎NU14U3CNC43BN-MB,‎Gray,‎Laptop,‎14.1 Inches,‎‎1366 x 768,‎‎1366 x 768,‎39.2 x 32.7 x 8.9 cm; 1.2 kg,‎NU14U3CNC43BN-MB,‎Intel,‎Celeron N4020,‎1.1 GHz,‎2,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎Emmc,‎Solid State,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎GDDR4,,‎Integrated,‎Wi-Fi,‎802.11a/b/g/n/ac,‎1,,‎Windows 11 Home,,,‎2,"‎1X User Manual, Charger, Laptop, Warranty Card",‎China,‎1 kg 200 g
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512GB SSD, Backlit KB, B&O (Win 11, Blue, 2.29 kg), fb0147AX, fb0184ax",-28%,"₹63,629₹63,629","45,990.",‎HP,"‎HP, SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China",‎15-fb0147AX,‎Performance Blue,‎Netbook,‎39.6 Centimetres,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎15-fb0147AX,‎AMD,‎Ryzen 5,‎4.2 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎USB,‎AMD Radeon RX 6500M,‎AMD,‎Dedicated,‎GDDR6,,‎PCI Express,‎Wi-Fi,‎802.11ax,‎1,,‎Windows 11 Home,‎Yes,‎52.5 Watt Hours,‎3,"‎Laptop, Power Adapter, User Manual",‎China,‎3 kg 130 g
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",-25%,"₹83,990₹83,990","62,990.",‎ASUS,"‎ASUS, TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China",‎TUF Gaming F15,"‎Black, R7 | RTX 3050",‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎FA506NCR-HN054W,‎AMD,‎AMD Ryzen 7,‎3.1 GHz,‎8,‎DDR5,‎DDR5 RAM,‎32 GB,‎SSD,‎USB,‎NVIDIA GeForce RTX 3050,‎NVIDIA,‎Dedicated,‎GDDR6,,‎PCI Express,‎Wi-Fi,"‎802.11bgn, Bluetooth",‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎48 Watt Hours,‎3,"‎Laptop, Adapter & User Manuals",‎China,‎2 kg 300 g
"Neopticon BrowseBook 14.1"" FHD IPS Laptop | Celeron N4020 Dual Core up to 2.8GHz | 4GB RAM | 128GB SSD | UHD Graphics | Win 11 Home | 38Wh | 1.3kg | Grey",-60%,"₹30,000₹30,000","11,990.",‎Neopticon,"‎Kaynes Electronics Manufacturing Pvt. Ltd. (KEMPL), Kaynes Electronics Manufacturing Pvt. Ltd. (KEMPL)",‎BrowseBook,‎Gray,‎Laptop,‎14.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎38.9 x 27.8 x 11.4 cm; 1.3 kg,‎BBN40412814,‎Intel,‎Celeron N4020,‎2.8 GHz,‎2,‎LPDDR4,‎DDR4 SDRAM,‎4 GB,‎SSD,,‎Intel Integrated Intel UHD Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Wi-Fi,,‎1,,‎Windows 11 Home,‎Yes,‎38 Watt Hours,‎3,"‎1 adapter, 1 keyboard protection cover, 1 laptop, 1 user manual, 1 warranty card",‎India,‎1 kg 300 g
"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS",-42%,"₹57,990₹57,990","33,799.",‎ASUS,"‎ASUS, DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China",‎ASUS Vivobook 15,‎Silver,‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.79 x 31.4 x 6.4 cm; 1.7 kg,‎X1504VA-NJ320WS,‎Intel,‎Core i3,‎1.2 GHz,‎6,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎PCIE x 4,‎Intel,‎Intel,‎Integrated,‎Shared,,‎PCI Express,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎42 Watt Hours,‎3,"‎Laptop, Adapter & User Manual",,‎1 kg 700 g
"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN",-26%,"₹89,390₹89,390","66,190.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎IdeaPad Slim 3,‎i7-13620H,‎Thin & Light,‎38.8 Centimetres,‎1920 x 1200 pixels,‎1920 x 1200 pixels,‎47.5 x 30.7 x 7.6 cm; 1.59 kg,‎15IRH10,‎Intel,,‎2.4,‎10,‎DDR5,‎DDR5 RAM,‎24 GB,,‎USB,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,‎802.11ax,‎1,‎No Optical Drive,‎Windows 11 Home,‎Yes,‎50 Watt Hours,‎4,‎Laptop,‎China,‎1 kg 590 g
"Acer Aspire Lite, Intel Core i3 13th Gen - 1305U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop",-40%,"₹52,990₹52,990","31,990.",‎acer,"‎ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111., Acer",‎Aspire Lite,‎Steel Gray,‎Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.29 x 32 x 8.9 cm; 1.59 kg,‎AL15-53,‎Intel,‎Core i3,‎3.3 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎36 Watt Hours,‎3,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎1 kg 590 g
"HP 14 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Ash Grey/1.4 kg/MS Office 2021",-37%,"₹55,000₹55,000","34,400.",‎HP,‎HP,‎HP 14,‎Ash Grey,‎Laptop,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,‎32.3 x 22.1 x 1.5 cm; 1.5 kg,‎HP 14,‎Intel,‎Core i3,‎4.5 GHz,‎6,‎DDR4,‎DDR4 SDRAM,‎32 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,,‎Windows 11 Pro,,‎42 Watt Hours,‎3,"‎LAPTOP, POWER ADAPTER, USER GUIDE",,‎1 kg 500 g
"Primebook 2 Neo 2025 (New Launch) | 6GB RAM, 128GB Storage (Upgradable Upto 512GB) | MediaTek Helio G99 | Android 15 (PrimeOS3.0) | in-Built AI | 11.6” Thin & Light Laptop | Type-C, USB, MicroSD Ports",-36%,"₹24,990₹24,990","15,990.",‎Primebook,‎VVDN Technologies Private Limited,,‎Gray,‎Thin & Light Laptop,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,‎33.1 x 23.9 x 8.3 cm; 1.8 kg,,‎MediaTek,‎MediaTek Helio,‎2.2 GHz,‎1,‎LPDDR4X,‎DDR4 SDRAM,‎6 GB,‎UFS 2.2,,‎Mali-G57,‎MediaTek,‎Integrated,,,‎Integrated,"‎Bluetooth, Wi-Fi",‎802.11a/b/g/n/ac,,,‎PrimeOS 3.0,,,,"‎1 Laptop, 1 Charger, Use Manual, Welcome Card",,‎1 kg 800 g
"Acer[SmartChoice Aspire Lite 12thGen Intel Core i5-12450H Premium Laptop(Win11Home/16GB RAM/512GB SSD/IntelUHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display,Backlit Keyboard,Pure Silver, 1.7KG",-33%,"₹66,999₹66,999","44,990.",‎acer,"‎ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111., Acer",‎Aspire Lite,‎Silver,‎Clamshell,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎45.29 x 33.5 x 9.9 cm; 1.7 kg,‎AL15-52H,‎Intel,‎Core i5-12450H,‎3.3 GHz,‎1,‎Lpddr 5,‎DDR5 RAM,‎16 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎DDR5 SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎54 Watt Hours,‎3,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎1 kg 700 g
"Lenovo 14 (2025), Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/MS Office 2021",-55%,"₹1,10,990₹1,10,990","50,490.",‎Lenovo,‎Lenovo,‎Lenovo 14,‎Iron Grey,‎Laptop,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎32.3 x 22.1 x 1.8 cm; 1.5 kg,‎Lenovo 14,‎Intel,‎Core i7-1255U,‎4.7 GHz,‎10,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,,‎Windows 11 Pro,,‎38 Watt Hours,‎2,"‎LAPTOP, POWER ADAPTER, USER GUIDE",,‎1 kg 500 g
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35.6 cm, Touchscreen 2-in-1, Win 11, Office 21, Silver, 1.51 kg, ek1010TU/1149tu, FPR, 5MP Camera, B&O, Backlit Laptop",-23%,"₹92,746₹92,746","71,490.",‎HP,"‎HP, HP India Sales Pvt. Ltd.",‎HP Laptop,‎Silver,‎Convertible,‎35.6 Centimetres,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎14-ek1010TU,‎Intel,‎Core i5,‎4.6 GHz,‎10,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎USB,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎VRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎802.11ax,‎1,,‎Windows 11 Home,‎Yes,‎43 Watt Hours,‎3,"‎Laptop, Power Adapter, User Manual",‎China,‎1 kg 410 g
"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16GB RAM, 512GB SSD, FHD WVA IPS 15.6""/39.62 cm, Windows 11, MSO'24, Platinum Silver, 1.67kg, 120Hz, Standard Keyboard, 15 Month McAfee, Thin & Light Laptop",-11%,"₹48,322₹48,322","42,990.",‎Dell,"‎Dell India Pvt. Ltd., Dell India Pvt. Ltd.",‎Inspiron,‎Silver,‎Standard Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎45.9 x 35.5 x 6.9 cm; 1.67 kg,,‎AMD,‎Ryzen 5,‎4.5 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎USB,‎Radeon Graphics,‎AMD,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Bluetooth,‎802.11ac,‎1,,‎Windows 11 Home,‎Yes,‎41 Watt Hours,‎3,‎Laptop | Power Cable |User Manual,‎China,‎1 kg 670 g
