Product_Name,Discount,MRP,Selling_Price,Brand,Manufacturer,Series,Colour,Form_Factor,Standing_Screen_Display_Size,Screen_Resolution,Resolution,Package_Dimensions,Item_Model_Number,Processor_Brand,Processor_Type,Processor_Speed,Processor_Count,Memory_Technology,Computer_Memory_Type,Maximum_Memory_Supported,Hard_Disk_Description,Hard_Drive_Interface,Graphics_Coprocessor,Graphics_Chipset_Brand,Graphics_Card_Description,Graphics_RAM_Type,Graphics_Card_RAM_Size,Graphics_Card_Interface,Connectivity_Type,Wireless_Type,Number_of_HDMI_Ports,Optical_Drive_Type,Operating_System,Are_Batteries_Included,Lithium_Battery_Energy_Content,Number_of_Lithium_Ion_Cells,Included_Components,Country_of_Origin,Item_Weight
"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver",-58%,"₹30,000₹30,000","12,490.",‎Walker,"‎Bldg. A3, 102-108 & 201-208, Mumbai-Nashik Highway NH3, Bhiwandi, Thane-421302, Maharashtra, India, Panache Digilife Limited",‎NU14A2,‎Silver,‎notebook,‎14.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎NU14A2,‎Intel,‎Celeron N4020,‎2.8 GHz,‎1,‎LPDDR4,‎DDR4 SDRAM,‎4 GB,‎SSD,‎Solid State,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Bluetooth,‎802.11g,‎1,‎BD-ROM,‎Windows 11 Home,‎Yes,‎5000 Milliampere Hour (mAh),‎2,"‎‎‎Laptop, AC Adapter, User Guide, Manuals",‎India,‎1 kg 300 g
"acer Aspire Go 14, Intel Core Ultra 5 125H (14th Gen),16GB DDR5 RAM/512GB SSD, WUXGA IPS, 14.0""/35.56 cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M,Backlit Keyboard, AI Powered Premium Laptop",-27%,"₹72,999₹72,999","52,999.",‎Acer,"‎Acer, Golden Elite Technology ( SHENZHEN ) LTD. No.1, Nan-Huan Rd., Shajing, BaoAn, Shenzhen, China",‎Aspire Go 14,‎Gray,‎Ultra-Portable,‎14 Inches,‎1920 x 1200 pixels,‎1920 x 1200 pixels,‎48.8 x 45.7 x 10.2 cm; 1.5 kg,‎AG14-71M,‎Intel,‎Intel Core Ultra 5,‎3.6 GHz,‎1,‎DDR5,‎DDR5 RAM,‎32 GB,‎SSD,‎Solid State,‎Intel Graphics,‎Intel,‎Integrated,‎SDRAM,,‎Integrated,‎Bluetooth,‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎55 Watt Hours,‎3,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎1 kg 500 g
"Dell 15, Intel Core i3 13th Gen - 1305U, 8GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Titan Grey, 1.69kg, 120Hz 250 nits Display, 15 Month McAfee, Thin & Light Laptop",-25%,"₹49,518₹49,518","36,990.",‎Dell,"‎DELL, Dell India Pvt Ltd",‎Inspiron,‎Carbon Black,‎Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎Inspiron 3530,‎Intel,‎Core i3,‎3.3 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎USB 3.2,‎integrated,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎2.6 Watt Hours,‎1,"‎‎‎‎Laptop, Battery, AC Adapter, User Guide, Manuals",‎China,‎1 kg 620 g
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U,Thin & Light Laptop (AMD Radeon iGPU/16GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.38 kg) E1404FA-NK5542WS",-28%,"₹52,990₹52,990","37,990.",‎ASUS,"‎ASUS, DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China",‎ASUS Vivobook Go 14,‎Black | 16GB RAM,‎thin & light,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎44.5 x 29.1 x 6.5 cm; 1.21 kg,‎E1404FA-NK5542WS,‎AMD,‎Ryzen 5,‎2.8 GHz,‎3,‎Lpddr 5,‎DDR5 RAM,‎16 GB,‎SSD,‎USB,‎AMD Radeon™ Graphics,‎AMD,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,‎Bluetooth,‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎42 Watt Hours,‎3,"‎Laptop, Power Adaptor, User Guide, Warranty Documents",‎China,‎1 kg 210 g
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",-67%,"₹36,502₹36,502","11,990.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎Chromebook,‎Maca Blue,‎Chromebook,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,‎41.79 x 25.1 x 6.9 cm; 1.21 kg,‎11IJL9,‎Intel,‎Others,‎1.1 GHz,‎2,‎DDR4,‎DDR4 SDRAM,‎4 GB,‎Emmc,‎USB,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,"‎802.11ax, Bluetooth",‎1,‎No Optical Drive,‎Chrome OS,‎Yes,‎42 Watt Hours,‎4,"‎Chromebook, Power Adapter, User guide",‎China,‎1 kg 210 g
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue",-48%,"₹25,000₹25,000","12,990.",‎Jio,"‎Hunan Greatwall Computer System Co.,Ltd, Tianyi Science and Technology City, Xiangyun Middle Road Tianyuan District, Zhuzhou , Hunan Province, China 412000; Contact: 1800 89 09999 ; email: care@jio.com, Hunan Greatwall Computer Systems Co., Ltd.",‎JioBook,‎Blue,‎Ultra-Portable,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,,‎NB1112MM(BLU),‎MediaTek,‎Others,‎2 GHz,‎8,‎LPDDR4,‎DDR4 SDRAM,‎4 GB,‎Emmc,‎USB,‎ARM Mali G72 MP3 @800 MHz,‎MediaTek,‎Integrated,‎Shared,,‎Integrated,‎Bluetooth,‎802.11abg,‎1,‎eMMC,‎JioOS,‎Yes,‎4000 Milliamp Hours (mAh),‎2,"‎Charger, Laptop",‎China,‎990 g
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",-25%,"₹83,990₹83,990","62,990.",‎ASUS,"‎ASUS, TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China",‎TUF Gaming F15,"‎Black, R7 | RTX 3050",‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎FA506NCR-HN054W,‎AMD,‎AMD Ryzen 7,‎3.1 GHz,‎8,‎DDR5,‎DDR5 RAM,‎32 GB,‎SSD,‎USB,‎NVIDIA GeForce RTX 3050,‎NVIDIA,‎Dedicated,‎GDDR6,,‎PCI Express,‎Wi-Fi,"‎802.11bgn, Bluetooth",‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎48 Watt Hours,‎3,"‎Laptop, Adapter & User Manuals",‎China,‎2 kg 300 g
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight",-16%,"₹99,900₹99,900","83,990.",‎Apple,"‎Apple, Apple","‎13-inch MacBook Air (M4, 2025)",‎Midnight,,‎13.6 Inches,,‎2560 x 1664 Pixels,‎37.9 x 28.5 x 7.9 cm; 1.24 kg,‎MW123HN/A,‎Apple,‎Apple M4,‎0.01 GHz,‎10,‎Unified Memory,,‎24 GB,‎SSD,,‎Apple Integrated Graphics,‎Apple,‎Integrated,‎DDR5 SDRAM,,‎Integrated,,,,,‎Mac OS,‎Yes,‎53.8 Watt Hours,‎4,"‎13-inch MacBook Air, USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m)",‎China,‎1 kg 240 g
"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS",-42%,"₹57,990₹57,990","33,799.",‎ASUS,"‎ASUS, DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China",‎ASUS Vivobook 15,‎Silver,‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.79 x 31.4 x 6.4 cm; 1.7 kg,‎X1504VA-NJ320WS,‎Intel,‎Core i3,‎1.2 GHz,‎6,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎PCIE x 4,‎Intel,‎Intel,‎Integrated,‎Shared,,‎PCI Express,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎42 Watt Hours,‎3,"‎Laptop, Adapter & User Manual",,‎1 kg 700 g
"Lenovo Ideapad Slim 3 13Th Gen Intel Core I5-13420H 15.3""(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg) 83K100C6IN",-34%,"₹82,490₹82,490","54,745.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎IdeaPad Slim 3,‎Grey,‎Thin & Light,‎15.3,‎1920 x 1200 pixels,‎1920 x 1200 pixels,‎47.79 x 31 x 7.3 cm; 1.59 kg,‎15IRH10,‎Intel,‎Intel Core i5,‎2.1,‎8,‎DDR5,‎DDR5 RAM,‎24 GB,‎usb,‎USB,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,‎802.11ax,‎1,‎No Optical Drive,‎Windows 11 Home,‎Yes,‎50 Watt Hours,‎4,‎Laptop,,‎1 kg 590 g
"ULTIMUS Pro Intel Celeron Dual Core Laptop 4GB RAM, 128GB M.2 Emmc Expandable~512GB Intel HD Graphics 2.0x1 3.0x1 USB HDMI Sd Card Slot ‎LPDDR4 Dual Speaker Dual Microphone Win 11 Home Gray, 1.2 kg",-54%,"₹24,990₹24,990","11,490.",‎FUTOPIA,"‎Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com, ‎Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com",‎NU14U3CNC43BN-MB,‎Gray,‎Laptop,‎14.1 Inches,‎‎1366 x 768,‎‎1366 x 768,‎39.2 x 32.7 x 8.9 cm; 1.2 kg,‎NU14U3CNC43BN-MB,‎Intel,‎Celeron N4020,‎1.1 GHz,‎2,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎Emmc,‎Solid State,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎GDDR4,,‎Integrated,‎Wi-Fi,‎802.11a/b/g/n/ac,‎1,,‎Windows 11 Home,,,‎2,"‎1X User Manual, Charger, Laptop, Warranty Card",‎China,‎1 kg 200 g
"Acer Aspire Lite, Intel Core i7 12th Gen - 12650H, 16 GB RAM, 512 GB SSD, Full HD IPS 15.6""/39.62 cm, Windows 11 Home, MS Office, Pure Silver, 1.70 KG, AL15-52H, Backlit Keyboard Laptop",-25%,"₹71,599₹71,599","53,999.",‎Acer,"‎Acer, Acer India PVT LTD, R.S. No: 38/2, Sedarapet Main Road, Sedarapet, Villianur Commune, Puducherry-605111",‎Aspire Lite,‎Silver,‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎47.4 x 34.29 x 10 cm; 1.7 kg,‎AL15-52H,‎Intel,‎Intel Core i7,‎2.3 GHz,‎1,‎Lpddr 5,‎SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎54 Watt Hours,,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎1 kg 700 g
"Neopticon BrowseBook 14.1"" FHD IPS Laptop | Celeron N4020 Dual Core up to 2.8GHz | 4GB RAM | 128GB SSD | UHD Graphics | Win 11 Home | 38Wh | 1.3kg | Grey",-60%,"₹30,000₹30,000","11,990.",‎Neopticon,"‎Kaynes Electronics Manufacturing Pvt. Ltd. (KEMPL), Kaynes Electronics Manufacturing Pvt. Ltd. (KEMPL)",‎BrowseBook,‎Gray,‎Laptop,‎14.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎38.9 x 27.8 x 11.4 cm; 1.3 kg,‎BBN40412814,‎Intel,‎Celeron N4020,‎2.8 GHz,‎2,‎LPDDR4,‎DDR4 SDRAM,‎4 GB,‎SSD,,‎Intel Integrated Intel UHD Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Wi-Fi,,‎1,,‎Windows 11 Home,‎Yes,‎38 Watt Hours,‎3,"‎1 adapter, 1 keyboard protection cover, 1 laptop, 1 user manual, 1 warranty card",‎India,‎1 kg 300 g
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam",-46%,"₹34,990₹34,990","18,990.",‎Chuwi,‎Chuwi Innovation,‎HeroBook Pro,‎silver or black,‎Laptop,‎14.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎47.4 x 28 x 5.7 cm; 1.39 kg,‎HeroBook Pro,‎Intel,‎Celeron N4020,‎2.4 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎USB,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎DDR5 RAM,,,‎Wi-Fi,‎Bluetooth,‎1,,‎Windows 11,‎Yes,‎130 Watt Hours,‎6,,,‎1 kg 390 g
